"X.U.FEFF.id","submitdate","lastpage","startlanguage","seed","G01Q01","G01Q02","G01Q03","G01Q04","G01Q04.other.","AX1","AX10","AX11","AX12","AX13","AX14","AX15","AX16","AX2","AX3","AX4","AX5","AX6","AX7","AX8","AX9","BX1","BX10","BX11","BX12","BX13","BX14","BX15","BX16","BX2","BX3","BX4","BX5","BX6","BX7","BX8","BX9","CX1","CX10","CX11","CX12","CX13","CX14","CX15","CX16","CX2","CX3","CX4","CX5","CX6","CX7","CX8","CX9","DX1","DX10","DX11","DX12","DX13","DX14","DX15","DX16","DX2","DX3","DX4","DX5","DX6","DX7","DX8","DX9","EX1","EX10","EX11","EX12","EX13","EX14","EX15","EX16","EX2","EX3","EX4","EX5","EX6","EX7","EX8","EX9","FX1","FX10","FX11","FX12","FX13","FX14","FX15","FX16","FX2","FX3","FX4","FX5","FX6","FX7","FX8","FX9","GX1","GX10","GX11","GX12","GX13","GX14","GX15","GX16","GX2","GX3","GX4","GX5","GX6","GX7","GX8","GX9","HX1","HX10","HX11","HX12","HX13","HX14","HX15","HX16","HX2","HX3","HX4","HX5","HX6","HX7","HX8","HX9","NPOPX1801","NPOPX1802","NPOPX1803","NPOPX1804","NPOPX1805","NPOPX1806","NPOPX1807","NPOPX1808","NPOPX1809","NPOPX1810","NPOPX1811","NPOPX1812","NPOPX1813","NPOPX1814","NPOPX1815","NPOPX1816","OAX19","OAX20","OAX21","OBX19","OBX20","OBX21","OCX19","OCX20","OCX21","ODX19","ODX20","ODX21","OEX19","OEX20","OEX21","OFX19","OFX20","OFX21","OGX19","OGX20","OGX21","OHX19","OHX20","OHX21","POPX1701","POPX1702","POPX1703","POPX1704","POPX1705","POPX1706","POPX1707","POPX1708","POPX1709","POPX1710","POPX1711","POPX1712","POPX1713","POPX1714","POPX1715","POPX1716"
5,"1980-01-01 00:00:00",53,"fi",428905816,"30 - 39","nainen","Korkeakoulusta jo valmistunut","Pohjois-Karjalasta","x","x","x","x","x","x","x","0","+1","x","x","x","x","x","x","x","x","+2","x","x","x","x","x","x","x","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","-3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","0","x","x","0","x","x","x","x","x","x","x","x","x","x","x","x","x","-3","x","x","0","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","+1","x","x","x","x","x","x","x","x","x","x","-3","-3","-3","-3","-2","-2","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","x","-2","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","-1","-3","0","+1","-1","+1","+3","0","+1","+3","-1","+1","+3","+1","0","+2"
5,"1980-01-01 00:00:00",53,"fi",698843861,"21 - 29","nainen","Korkeakoulusta jo valmistunut","Keski-Suomesta","","x","x","x","x","+3","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+3","x","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-3","x","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","x","x","-1","+2","x","x","x","x","x","x","x","x","x","x","x","x","-2","+1","-3","-3","-3","-3","-2","-3","-2","-3","-3","-3","-3","-2","-3","-3","x","x","+2","x","+1","x","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+2","+3","+3","+3","+3","+3","+2","+3","+3","+3","+3","+3","+3","+3","+3"
5,"1980-01-01 00:00:00",53,"fi",777581286,"30 - 39","nainen","Korkeakoulusta jo valmistunut","Keski-Suomesta","x","x","x","-2","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+2","x","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+1","x","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","-2","-1","-2","-3","-2","-2","-2","-1","-3","-3","-1","-3","-1","-2","-3","-2","x","x","x","x","x","-2","x","+3","x","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","+3","+2","+3","+3","+3","+3","+1","+3","+3","+3","+3","+3","+2","0","+3"
5,"1980-01-01 00:00:00",53,"fi",1145536683,"50 - 59","nainen","Korkeakoulusta jo valmistunut","Keski-Suomesta","x","+3","x","x","x","x","x","x","x","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-3","x","x","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","x","x","-3","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-1","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+3","x","x","x","x","x","x","x","x","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-1","-3","-3","-3","-3","-3","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-3","x","+1","x","-1","+2","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3"
5,"1980-01-01 00:00:00",53,"fi",1717108605,"40 - 49","nainen","Korkeakoulusta jo valmistunut","Pohjois-Karjalasta","x","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","x","x","-1","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+3","x","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-3","x","-2","-2","-2","-2","-2","-1","-2","+1","-2","-3","+2","-2","-2","-1","-3","-2","x","x","x","x","x","x","x","x","-1","x","0","x","+2","x","x","x","x","x","x","x","x","x","x","x","+3","+3","+3","+3","+3","+3","+3","+2","+3","+3","+3","+3","+3","+3","+3","+3"
6,"1980-01-01 00:00:00",53,"fi",201086062,"30 - 39","nainen","Korkeakoulusta jo valmistunut","Uusimaalta","x","x","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","x","x","-1","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-2","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-1","+3","x","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-2","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-1","-3","x","-3","-2","-2","-3","-3","-3","-3","-3","-1","-3","-3","-3","-3","-2","-3","-3","x","x","x","x","x","x","x","x","-3","x","-3","x","+2","x","x","x","x","x","x","x","x","x","x","x","-2","+3","+3","+3","+1","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3"
6,"1980-01-01 00:00:00",53,"fi",629807851,"30 - 39","nainen","Korkeakoulusta jo valmistunut","Varsinais-Suomesta","x","x","x","+3","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","+3","x","x","x","x","x","x","x","x","+2","x","x","x","x","x","x","x","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-1","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","-2","x","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","-1","-1","-2","-2","-2","-3","-2","-3","-2","-2","-3","-3","-2","-3","-1","-2","-3","x","x","x","x","x","-1","x","+3","x","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-1","+2","+1","+3","+3","+3","+3","+2","+3","+3","+2","+3","+3","+3","+3","+3"
6,"1980-01-01 00:00:00",53,"fi",884261836,"30 - 39","nainen","Korkeakoulusta jo valmistunut","Pohjois-Karjalasta","x","+3","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-1","x","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","x","x","+3","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+3","x","x","x","x","x","x","x","x","-3","-2","-3","-3","-2","-2","-2","-2","+1","-3","-2","-3","-2","+1","-3","-2","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-1","x","+3","x","+1","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3"
6,"1980-01-01 00:00:00",53,"fi",1936656165,"30 - 39","nainen","Olen opiskelija","Etel‰-Karjalasta","x","x","x","x","x","x","x","x","x","x","+3","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+1","x","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","x","x","+2","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+2","x","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","-1","-2","-1","-3","-3","-1","-1","-2","-1","-3","-1","-1","-2","-1","+1","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-1","x","-3","x","+2","x","x","+1","+3","+2","+3","+3","+3","+3","+2","+3","+3","+3","+3","+3","+3","+3","+3"
6,"1980-01-01 00:00:00",53,"fi",2050487979,"60 tai vanhempi","nainen","Toisen asteen koulutus","Kymenlaaksosta","","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+1","x","x","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","x","x","+3","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+3","x","x","x","x","x","x","x","x","+2","x","x","x","x","x","x","x","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+1","x","x","x","+1","0","0","-1","-2","-1","0","+1","+2","-3","-3","0","-1","+1","0","-2","x","x","x","x","x","x","x","x","x","x","x","+1","x","+2","x","+2","x","x","x","x","x","x","x","x","+2","+3","+2","+3","+3","+3","+3","+2","+3","+3","+3","+2","+3","+3","+3","+3"
7,"1980-01-01 00:00:00",53,"fi",514430382,"40 - 49","mies","Korkeakoulusta jo valmistunut","Uusimaalta","","x","x","x","x","+3","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","+2","x","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","-1","x","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","x","x","0","0","x","x","x","x","x","x","x","x","x","x","x","x","-1","0","0","-1","-2","-2","-2","0","0","-3","-1","-1","-2","-1","-1","0","x","x","+1","x","+3","x","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+3","+3","+3","+3","+3","+3","+2","+1","+3","+3","+2","+3","+2","+3","+3"
7,"1980-01-01 00:00:00",53,"fi",835518686,"30 - 39","nainen","Toisen asteen koulutus","Kymenlaaksosta","x","x","x","x","x","x","x","+2","+3","x","x","x","x","x","x","x","x","+2","x","x","x","x","x","x","x","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","-3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","+1","x","x","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","x","x","+2","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","-2","x","x","x","x","x","x","x","x","x","x","-2","-3","-2","-3","-3","-3","-2","-2","+1","-3","-2","-3","-3","-2","-2","-2","x","-2","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-2","-2","+3","+1","+3","+2","+3","+3","+3","+3","+3","+3","+3","+3","+3","+2","+3"
7,"1980-01-01 00:00:00",53,"fi",1547263052,"40 - 49","mies","Toisen asteen koulutus","Uusimaalta","x","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","x","x","+1","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+3","x","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-1","x","+2","+2","-1","-1","+1","-3","-1","-1","+1","-3","+1","-1","+1","+1","-2","-1","x","x","x","x","x","x","x","x","-1","x","+2","x","+2","x","x","x","x","x","x","x","x","x","x","x","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3"
7,"1980-01-01 00:00:00",53,"fi",1643550677,"21 - 29","nainen","Olen opiskelija","Keski-Suomesta","x","+1","x","x","x","x","x","x","x","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-2","x","x","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","-2","x","x","+3","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-1","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-1","+3","x","x","x","x","x","x","x","x","-2","-2","-2","-3","-3","-2","-3","-1","-2","-3","-2","-2","-2","-2","-2","-2","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-1","x","+3","x","-1","-1","+3","+3","+2","+3","+2","+2","+3","+3","+1","+3","+2","+3","+1","+3"
8,"1980-01-01 00:00:00",53,"fi",796147441,"60 tai vanhempi","mies","Korkeakoulusta jo valmistunut","Muu","Is‰ Karjalasta, ‰iti Vaasasta, puoliso Pohjois-Karjalasta.","x","x","x","x","+2","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+2","x","x","x","x","x","x","x","x","+2","x","x","x","x","x","x","x","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-2","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","-1","x","x","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","x","x","+2","-1","x","x","x","x","x","x","x","x","x","x","x","x","-2","-3","+1","-1","-3","+1","-2","-3","+1","-1","-2","-3","-3","-2","-1","+1","x","x","-2","x","-3","x","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","-1","+2","+3","+3","+2","+3","+2","+3","+3","+2","+3","+3","+3","+2","+3"
8,"1980-01-01 00:00:00",53,"fi",1352803896,"60 tai vanhempi","nainen","Toisen asteen koulutus","Keski-Suomesta","","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","0","x","x","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","0","x","x","+3","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+3","x","x","x","x","x","x","x","x","-1","x","x","x","x","x","x","x","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","+3","x","x","x","-2","-2","-2","-2","0","-2","-1","-2","+3","-2","0","-1","-2","-1","-3","-2","x","x","x","x","x","x","x","x","x","x","x","+1","x","0","x","+2","x","x","x","x","x","x","x","x","+2","+3","+2","+3","+3","+3","+3","+3","+3","+3","+3","+1","+3","+1","+3","+3"
8,"1980-01-01 00:00:00",53,"fi",1531725537,"60 tai vanhempi","nainen","Korkeakoulusta jo valmistunut","Kanta-H‰meest‰","x","x","x","x","x","x","x","+3","+3","x","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+2","x","x","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","-1","x","x","+3","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","+2","x","x","x","x","x","x","x","x","x","x","-3","-2","-3","-3","-3","-3","-3","-3","+3","-3","-3","+3","-3","-3","-3","-3","x","0","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3"
8,"1980-01-01 00:00:00",53,"fi",1962052114,"50 - 59","nainen","Korkeakoulusta jo valmistunut","Pohjois-Karjalasta","x","x","x","x","x","x","x","x","x","x","x","x","+2","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+2","x","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","x","x","+3","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","+3","x","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+1","x","x","x","x","x","+3","-2","-2","-2","-2","-1","-1","+1","-2","-3","-2","-2","-2","-2","+1","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","x","-3","x","+2","x","x","x","x","x","+2","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","-3","+3"
8,"1980-01-01 00:00:00",53,"fi",2037390822,"30 - 39","nainen","Olen opiskelija","Pohjois-Karjalasta","x","x","x","-1","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-2","-2","x","x","x","x","x","x","x","x","-2","x","x","x","x","x","x","x","-3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-2","-3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-3","-3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-3","-3","x","x","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","-2","-3","-3","-3","-3","-3","-3","-3","-2","-3","-3","-3","-3","-3","-3","-3","-3","x","x","x","x","x","-3","x","-3","x","-3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","-2","+3","+3","+2","+3","+3","-1","+2","+3","-2","+3","+2","+3","+2","+3"
9,"1980-01-01 00:00:00",53,"fi",23917997,"60 tai vanhempi","nainen","Toisen asteen koulutus","Uusimaalta","x","x","-3","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","x","x","+3","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-2","+3","x","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-2","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-3","-3","x","-3","-3","-3","-3","+2","-3","-3","-3","0","-3","-3","-3","-3","-3","-3","-3","x","x","x","x","x","x","x","x","-2","x","-3","x","+3","x","x","x","x","x","x","x","x","x","x","x","-2","+3","-3","+3","+3","+3","+3","+2","+3","+3","+3","+3","+3","+3","+3","+3"
9,"1980-01-01 00:00:00",53,"fi",71667197,"21 - 29","nainen","Korkeakoulusta jo valmistunut","Kainuusta","","x","x","x","x","+3","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+3","x","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-2","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","-3","x","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","x","x","+3","+1","x","x","x","x","x","x","x","x","x","x","x","x","-1","-3","-3","-3","-3","-3","-3","-3","+3","-3","-3","-3","-3","-2","-3","-3","x","x","0","x","-1","x","-3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+1","+3"
9,"1980-01-01 00:00:00",53,"fi",591496833,"60 tai vanhempi","nainen","Alempi kuin toisen asteen koulutus","Uusimaalta","x","x","x","x","x","x","x","+3","+3","x","x","x","x","x","x","x","x","+2","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-3","+3","x","x","-3","x","x","x","x","x","x","x","x","x","x","x","x","x","-3","x","x","+2","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-3","-3","x","x","x","x","x","x","x","x","x","x","-3","-3","0","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-1","-3","-3","x","0","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+1","+3","+3","+2","+3","+3","+3","+3","+3","+3","-3","+3","+2","+3","-3","+3"
9,"1980-01-01 00:00:00",53,"fi",712266211,"21 - 29","nainen","Korkeakoulusta jo valmistunut","P‰ij‰t-H‰meest‰","","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-1","x","x","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","x","x","+3","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+3","x","x","x","x","x","x","x","x","+1","x","x","x","x","x","x","x","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","+2","x","x","x","-1","-1","+1","-2","-3","-1","+1","-1","+1","-3","-1","-1","-1","+1","+1","+1","x","x","x","x","x","x","x","x","x","x","x","+1","x","+1","x","+1","x","x","x","x","x","x","x","x","+1","+3","+2","+3","+3","+3","+3","+3","+3","+3","+3","+1","+3","+3","+3","+3"
9,"1980-01-01 00:00:00",53,"fi",1213423979,"50 - 59","nainen","Korkeakoulusta jo valmistunut","Pohjois-Pohjanmaalta","x","+2","x","x","x","x","x","x","x","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-2","x","x","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","x","x","+2","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+2","x","x","x","x","x","x","x","x","-1","-3","-3","-3","+1","-3","-2","-2","+1","-3","-1","-3","-2","-2","-3","-3","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-3","x","+3","x","-1","+3","+1","+2","+3","+3","+3","+3","+3","+3","+3","+1","+3","+1","+2","+3"
9,"1980-01-01 00:00:00",53,"fi",1488865802,"60 tai vanhempi","nainen","Korkeakoulusta jo valmistunut","Varsinais-Suomesta","x","x","x","-3","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","0","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+3","x","x","x","x","x","x","x","x","+2","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-1","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-2","-1","x","x","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","-1","-3","-1","-1","0","0","-3","-1","-1","+3","-3","+1","-1","-1","-1","-3","-2","x","x","x","x","x","+1","x","+2","x","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+3","+3","+3","+3","+3","+3","+3","+3","0","+2","+3","+3","+3","+3","+3"
10,"1980-01-01 00:00:00",53,"fi",6387335,"50 - 59","nainen","Toisen asteen koulutus","Uusimaalta","x","x","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","x","x","-1","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","+1","x","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","-1","x","-2","-2","-3","-3","-3","-3","-2","-2","0","-3","0","-3","-2","-2","-2","-3","x","x","x","x","x","x","x","x","-2","x","-3","x","+2","x","x","x","x","x","x","x","x","x","x","x","-2","+3","+3","+3","+3","+3","+3","+3","+3","+2","+3","-2","+3","+2","+3","+3"
